id;property_number;parcel_lineage;survey_plan_number;property_description;area;description;plan_number;premium_value;coordinate_n;coordinate_e;lagos_sheet_number;unit_number;valuation_amount;comments;street_number;street_name;block_number;plot_number;ward;town;property_area;village;upin;comment;measurement_unit_type_id;property_type_id;local_government_area_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;Implementation Electronics Officer;61748;30424;61165;Grocery Home;Investment Account Steel;29214;24/7 Common bluetooth;syndicate;Jamil Way;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;1;1;1
2;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;38867;interactive generating compelling;Home Loan Account;27599;14092;29627;Car Industrial deliverables;orange Books;81546;monitor;1080p Checking Account Identity;Volkman Ports;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;76078;Idaho compress Avon;system Small;Intelligent Outdoors;2;2;2
3;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;63340;RSS;mint green e-business EXE;32434;80744;12208;granular Direct contextually-based;synergies copying;86073;Games;Iraq Bedfordshire;Gleichner Rest;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account;paradigms Home;Investor Public-key;3;3;3
4;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;53577;Licensed hacking installation;Argentine Peso;85835;59089;32595;red firewall open-source;deposit Sausages;69093;synthesize Creative;Forint;Ebert Rue;Tanzania Fiji Dollar Profound;parsing;Borders content-based;Tasty Customer Human;63310;B2B;Saint Helena Pound programming;AI optical invoice;4;4;4
5;Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;69189;invoice Devolved;Computers Bedfordshire Fish;36646;64963;74417;alarm local area network Benin;turn-key dedicated;24398;Strategist target;Investor users dot-com;Marcella Port;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;Human;37015;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;5;5;5
6;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;program;Metal array France;29651;80936;41978;Synergistic Personal Loan Account Sleek;Borders;79829;deposit;extend Unbranded Fresh Pants Tools;Kertzmann Pass;Argentine Peso implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;12706;South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;6;6;6
7;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;83598;Saudi Riyal paradigms;Corporate;44235;25024;23978;Handmade Tuna;motivating Operations alarm;55435;Credit Card Account paradigms;Louisiana;Blanche Dam;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;43385;integrate Personal Loan Account;HTTP explicit;Personal Loan Account;7;7;7
8;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;54561;Web revolutionize Branding;teal analyzing yellow;37725;1822;3896;Credit Card Account;Handcrafted Plastic Shirt quantifying;2327;open-source hybrid;Solomon Islands Dollar;Trent Inlet;Handmade Cotton Bacon Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;85841;bandwidth;application Configurable iterate;Berkshire navigating;8;8;8
9;superstructure;streamline;Interactions;Fantastic time-frame Quality;95060;Missouri deposit;Gorgeous Money Market Account;55370;67251;21272;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;88770;cross-media Frozen;Syrian Pound;Samson Street;bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;81279;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;9;9;9
10;Triple-buffered array;Bedfordshire Tools;Arizona hack;Fresh payment synthesize;58336;Markets;Glen Refined;52837;22359;43633;auxiliary Strategist Arizona;Lead;52770;Agent Gorgeous Rubber Chicken Associate;Tuna magenta;Zieme Green;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;olive;46369;one-to-one Indiana;holistic;Architect;10;10;10
