id;transaction_number;application_date;transaction_start_date;comments;create_date;start_date;complete_date;batch_id
1;mobile Fish;2020-05-18;2020-05-18;Table Computer;2020-05-19;2020-05-19;2020-05-18;33370
2;Metal deposit;2020-05-19;2020-05-18;parsing red Chips;2020-05-19;2020-05-18;2020-05-19;61165
3;Grocery Home;2020-05-18;2020-05-18;Steel zero administration;2020-05-19;2020-05-19;2020-05-19;9060
4;Savings Account syndicate Planner;2020-05-19;2020-05-19;Credit Card Account Table Small Frozen Sausages;2020-05-18;2020-05-18;2020-05-18;38541
5;Music;2020-05-19;2020-05-18;infomediaries;2020-05-19;2020-05-18;2020-05-18;83319
6;Salad;2020-05-19;2020-05-19;invoice;2020-05-19;2020-05-19;2020-05-18;20794
7;Georgia Industrial;2020-05-18;2020-05-18;Markets Chief;2020-05-18;2020-05-18;2020-05-18;32654
8;Georgia;2020-05-18;2020-05-19;software scale interactive;2020-05-18;2020-05-18;2020-05-19;96525
9;Home Loan Account;2020-05-19;2020-05-19;back-end;2020-05-19;2020-05-19;2020-05-18;42340
10;reinvent 24 hour Jewelery;2020-05-19;2020-05-18;application quantify Unbranded Plastic Tuna;2020-05-19;2020-05-18;2020-05-18;85003
