id;hjtype;code;label;descr;category;general_term;sort_order;hidden;group_name;workflow;group_code;normal_duration;lapsed_duration;max_duration;right_type;right_type_multiple;right_type_other;create_new_rrs;modify_active_rrrs;related_active_rrrs;discharge_active_rrrs;blocked_active_rrrs;meta_type;source_party_type;target_party_type;other_party_type;related_transaction_code;cashier_transaction_code;fee_payment_codes;mandatory_docs_codes;mandatory_scan_outgoing_docs_codes;create_mutate_property;referenced_properties;prior_required_transactions;create_new_party;party_business_rules;report_templates;detachable;parent_transaction_type;internal_code;version;begin_lifespan_version;end_lifespan_version;tran_index
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual
2;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;payment calculating;local area network Benin;turn-key dedicated
3;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes
4;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;Pakistan;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;Markets
5;Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome
6;Creek;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire
7;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;Investment Account;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;vortals value-added;Salad Connecticut;Generic Advanced;HDD Security Virginia;solid state Clothing deposit;Maine Checking Account markets;Unbranded programming District;Concrete
8;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National;interactive capacitor;Idaho Grocery;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;Towels applications;Zimbabwe;Bedfordshire;application scale;indigo National;Expressway;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack;Pants;Tasty navigate didactic;payment schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure;Kids;microchip;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM
9;Agent Squares;supply-chains;Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;Future;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product;Metal;complexity Direct Administrator;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik
10;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;bypass e-services;Russian Federation program;Practical;emulation SQL;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;neural Cloned Massachusetts;SCSI Communications Underpass;Officer parse;Intuitive;quantifying Phased connecting;Automated;architect;lavender;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator;Cambridgeshire;Borders Internal;open-source Ouguiya
