id;year;status;request_date;processed_date
1;69189;invoice Devolved;2020-06-08;2020-06-08
2;23724;circuit navigate;2020-06-08;2020-06-08
3;84922;withdrawal Nevada Sleek;2020-06-08;2020-06-08
4;26520;Persevering;2020-06-07;2020-06-07
5;39309;Human withdrawal;2020-06-08;2020-06-08
6;50263;North Dakota Cambridgeshire;2020-06-08;2020-06-08
7;72245;local Shoes;2020-06-08;2020-06-08
8;17711;Applications Response Human;2020-06-08;2020-06-08
9;1545;Tactics architectures Planner;2020-06-07;2020-06-07
10;85300;disintermediate;2020-06-08;2020-06-08
