id;batch_number;invoice_number;create_date;delivery_date;office_id
1;63641;knowledge base Buckinghamshire;2020-05-02;2020-05-03;24929
2;60441;Saint Lucia white;2020-05-02;2020-05-03;59886
3;28975;Salad Web virtual;2020-05-03;2020-05-03;87146
4;45653;mint green e-business EXE;2020-05-03;2020-05-02;12208
5;89609;support Gorgeous;2020-05-03;2020-05-03;42710
6;52;cutting-edge ability Hat;2020-05-03;2020-05-03;48482
7;22210;Concrete 24/7 Directives;2020-05-03;2020-05-03;51879
8;55810;facilitate Tasty Concrete Chips Exclusive;2020-05-03;2020-05-03;71227
9;30087;zero tolerance;2020-05-03;2020-05-03;60956
10;97661;paradigms Home;2020-05-03;2020-05-02;63435
